Country,GDP
Austria,50222
Belgium,45175
Bulgaria,9518
Croatia,14949
Cyprus,27719
Czechia,23313
Denmark,59795
Estonia,23523
Finland,58868
France,51760
Germany,46563
Greece,19974
Hungary,17463
Iceland,67037
Ireland,77771
Italy,32946
Latvia,18171
Lithuania,19266
Luxembourg,113196
Malta,30650
Netherlands,52367
Norway,77975
Poland,14901
Portugal,23030
Romania,12482
Slovakia,19547
Slovenia,26170
Spain,29961
Sweden,51241
Switzerland,83716
United Kingdom,41030
