Country,Response_measure,date_start,date_end
Spain,MasksVoluntary,13/03/2020,03/05/2020
Spain,MassGather50Partial,01/10/2020,24/10/2020
Spain,MassGatherAll,14/03/2020,21/06/2020
Spain,MassGatherAll,25/10/2020,NA
Spain,MassGatherAllPartial,01/10/2020,24/10/2020
Spain,StayHomeGen,09/03/2020,13/03/2020
Spain,StayHomeOrder,14/03/2020,03/05/2020
Spain,StayHomeOrderPartial,04/05/2020,11/05/2020
Spain,StayHomeOrderPartial,25/10/2020,NA
Spain,StayHomeRiskG,12/03/2020,NA
Spain,TeleworkingClosures,09/03/2020,12/04/2020
Spain,TeleworkingClosuresPartial,13/04/2020,NA
Sweden,ClosHigh,18/03/2020,15/06/2020
Sweden,ClosPubAny,01/07/2020,NA
Sweden,ClosSec,18/03/2020,15/06/2020
Sweden,ClosSecPartial,23/11/2020,NA
Sweden,MassGatherAll,12/03/2020,NA
Sweden,StayHomeRiskG,01/04/2020,22/10/2020
Sweden,TeleworkingClosures,16/03/2020,NA
United Kingdom,ClosDaycare,23/03/2020,31/05/2020
United Kingdom,ClosDaycarePartial,01/06/2020,01/09/2020
United Kingdom,ClosPrim,23/03/2020,31/05/2020
United Kingdom,ClosPrimPartial,01/06/2020,01/09/2020
United Kingdom,ClosPubAny,16/03/2020,30/03/2020
United Kingdom,ClosPubAnyPartial,31/03/2020,NA
United Kingdom,ClosSec,23/03/2020,14/06/2020
United Kingdom,ClosSecPartial,15/06/2020,01/09/2020
United Kingdom,MasksMandatory,27/07/2020,NA
United Kingdom,MasksVoluntary,09/06/2020,26/07/2020
United Kingdom,MassGatherAll,28/05/2020,NA
United Kingdom,StayHomeGen,16/03/2020,23/03/2020
United Kingdom,StayHomeOrder,24/03/2020,09/05/2020
United Kingdom,StayHomeOrder,05/11/2020,01/12/2020
United Kingdom,StayHomeOrderPartial,10/05/2020,04/07/2020
United Kingdom,StayHomeRiskG,16/03/2020,05/07/2020
United Kingdom,StayHomeRiskG,05/11/2020,01/12/2020
United Kingdom,StayHomeRiskGPartial,06/07/2020,01/08/2020
United Kingdom,TeleworkingClosures,16/03/2020,NA
Switzerland,ClosHigh,16/03/2020,11/05/2020
Switzerland,ClosHigh,02/11/2020,NA
Switzerland,ClosPrim,16/03/2020,11/05/2020
Switzerland,ClosPubAny,16/03/2020,10/05/2020
Switzerland,ClosPubAnyPartial,11/05/2020,06/06/2020
Switzerland,ClosPubAnyPartial,29/10/2020,NA
Switzerland,ClosSec,16/03/2020,11/05/2020
Switzerland,MasksMandatory,06/07/2020,NA
Switzerland,MasksVoluntaryPartial,16/03/2020,05/07/2020
Switzerland,MassGather50,20/03/2020,05/04/2020
Switzerland,MassGather50,19/10/2020,NA
Switzerland,MassGatherAll,28/02/2020,01/10/2020
Switzerland,MassGatherAll,19/10/2020,NA
Switzerland,StayHomeRiskG,16/03/2020,NA
Switzerland,TeleworkingClosures,16/03/2020,NA
