Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
620,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
630,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
640,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
650,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
660,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
670,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
680,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
690,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
700,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
710,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
720,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
730,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
740,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
750,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
760,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
770,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
780,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
790,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
800,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
810,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
820,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
830,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
840,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
850,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
860,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
870,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
880,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
890,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
900,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
910,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
920,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
930,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
940,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
950,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
960,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
970,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
980,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
990,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1000,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1010,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1020,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1030,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1040,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1050,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1060,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1070,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1080,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1090,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1100,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1110,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1120,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1130,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1140,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1150,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1160,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
1170,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1180,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1190,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1200,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1210,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1220,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1230,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1240,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1250,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1260,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1270,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1280,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1290,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1300,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1310,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1320,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1330,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1340,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1350,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1360,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1370,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1380,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1390,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1400,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1410,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1420,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1430,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1440,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1450,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1460,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1470,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1480,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1490,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1500,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1510,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1520,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1530,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1540,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1550,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1560,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1570,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1580,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1590,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1600,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1610,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1620,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1630,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1640,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1650,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1660,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1670,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1680,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1690,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1700,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1710,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1720,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1730,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1740,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1750,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1760,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1770,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1780,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1790,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1800,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
