Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8
500,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
510,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
520,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
530,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
540,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
550,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
560,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
570,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
580,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
590,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
600,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
610,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
620,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
630,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
640,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
650,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
660,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
670,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
680,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
690,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
700,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
710,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
720,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
730,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
740,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
750,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
760,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
770,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
780,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
790,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
800,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
810,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
820,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
830,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
840,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
850,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
860,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
870,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
880,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
890,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
900,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
910,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
920,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
930,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
940,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
950,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
960,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
970,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
980,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
990,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1000,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1010,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1020,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1030,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1040,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1050,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1060,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1070,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1080,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1090,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1100,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1110,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1120,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1130,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
1140,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
