Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
620,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
630,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
640,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
650,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
660,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
670,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
680,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
690,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
700,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
710,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
720,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
730,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
740,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
750,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
760,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
770,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
780,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
790,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
800,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
810,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
820,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
830,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
