Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10
500,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
510,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
520,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
530,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
540,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
550,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
560,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
570,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
580,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
590,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
600,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
610,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
620,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
630,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
640,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
650,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
660,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
670,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
680,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
690,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
700,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
710,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
720,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
730,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
740,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
750,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
760,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
770,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
780,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
790,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
800,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
810,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
820,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
830,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
840,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
850,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
860,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
870,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
880,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
890,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
900,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
910,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
920,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
930,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
940,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
950,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
960,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
970,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
980,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
990,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1000,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1010,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1020,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1030,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1040,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1050,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1060,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1070,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1080,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1090,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1100,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1110,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1120,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1130,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1140,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1150,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1160,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1170,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1180,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1190,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1200,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1210,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1220,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1230,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1240,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1250,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1260,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1270,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1280,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1290,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1300,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1310,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1320,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1330,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1340,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1350,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1360,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1370,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1380,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1390,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1400,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
