Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
390,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
400,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
410,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
420,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
430,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
440,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
450,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
460,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
470,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
480,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
490,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
500,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
510,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
520,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
530,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
540,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
550,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
560,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
