Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
400,-14142.37,3.800237e-09,0.9327503,0.08804228,0.5057404,0.7922346,0.7157437,0.8163656,0.8968239,0.3773051,0.6203565,0.4545128,0.7516508
410,-14142.37,3.800237e-09,0.9327503,0.08804228,0.5057404,0.7922346,0.7157437,0.8163656,0.8968239,0.3773051,0.6203565,0.4545128,0.7516508
420,-14142.37,3.800237e-09,0.9327503,0.08804228,0.5057404,0.7922346,0.7157437,0.8163656,0.8968239,0.3773051,0.6203565,0.4545128,0.7516508
430,-14142.37,3.800237e-09,0.9327503,0.08804228,0.5057404,0.7922346,0.7157437,0.8163656,0.8968239,0.3773051,0.6203565,0.4545128,0.7516508
440,-14142.37,3.800237e-09,0.9327503,0.08804228,0.5057404,0.7922346,0.7157437,0.8163656,0.8968239,0.3773051,0.6203565,0.4545128,0.7516508
450,-14142.37,3.800237e-09,0.9327503,0.08804228,0.5057404,0.7922346,0.7157437,0.8163656,0.8968239,0.3773051,0.6203565,0.4545128,0.7516508
460,-14142.37,3.800237e-09,0.9327503,0.08804228,0.5057404,0.7922346,0.7157437,0.8163656,0.8968239,0.3773051,0.6203565,0.4545128,0.7516508
470,-14142.37,3.800237e-09,0.9327503,0.08804228,0.5057404,0.7922346,0.7157437,0.8163656,0.8968239,0.3773051,0.6203565,0.4545128,0.7516508
480,-14142.37,3.800237e-09,0.9327503,0.08804228,0.5057404,0.7922346,0.7157437,0.8163656,0.8968239,0.3773051,0.6203565,0.4545128,0.7516508
490,-14142.37,3.800237e-09,0.9327503,0.08804228,0.5057404,0.7922346,0.7157437,0.8163656,0.8968239,0.3773051,0.6203565,0.4545128,0.7516508
500,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
510,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
520,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
530,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
540,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
550,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
560,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
570,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
580,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
590,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
600,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
610,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
620,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
630,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
640,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
650,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
660,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
670,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
680,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
690,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
700,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
710,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
720,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
