Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8
500,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
510,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
520,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
530,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
540,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
550,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
560,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
570,-704.3652,1.520385e-07,0.7775334,0.7310294,0.7975816,0.9528982,0.477086,0.5187356,0.7865384,0.3348731
580,-704.3652,1.520385e-07,0.7775334,0.7310294,0.7975816,0.9528982,0.477086,0.5187356,0.7865384,0.3348731
590,-704.3652,1.520385e-07,0.7775334,0.7310294,0.7975816,0.9528982,0.477086,0.5187356,0.7865384,0.3348731
600,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
610,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
620,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
630,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
640,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
650,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
660,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
670,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
680,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
690,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
700,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
710,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
720,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
730,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
740,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
750,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
760,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
770,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
780,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
790,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
800,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
810,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
820,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
830,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
840,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
