Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8
520,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
530,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
540,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
550,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
560,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
570,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
580,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
590,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
600,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
610,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
620,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
630,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
640,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
650,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
660,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
670,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
680,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
