Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5
700,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
710,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
720,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
730,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
740,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
750,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
760,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
770,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
780,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
790,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
800,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
810,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
820,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
830,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
840,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
850,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
860,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
870,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
880,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
890,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
900,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
910,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
920,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
930,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
940,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
950,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
960,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
970,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
980,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
990,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1000,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1010,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1020,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1030,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1040,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1050,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1060,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1070,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1080,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1090,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1100,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1110,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1120,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
