Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11,vecEff12
800,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
810,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
820,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
830,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
840,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
850,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
860,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
870,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
880,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
890,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
900,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
910,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
920,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
930,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
940,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
950,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
960,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
970,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
980,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
990,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1000,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1010,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1020,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1030,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1040,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1050,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1060,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1070,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1080,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1090,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1100,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1110,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1120,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1130,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1140,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1150,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1160,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1170,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1180,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1190,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1200,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1210,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1220,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1230,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1240,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1250,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1260,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1270,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1280,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1290,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1300,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1310,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1320,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1330,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1340,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1350,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1360,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1370,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1380,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1390,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1400,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1410,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1420,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1430,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1440,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1450,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1460,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1470,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1480,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1490,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1500,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1510,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1520,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1530,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1540,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1550,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1560,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1570,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1580,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1590,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1600,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
