Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
610,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
620,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
630,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
640,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
650,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
660,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
670,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
680,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
690,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
700,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
710,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
720,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
730,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
740,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
750,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
760,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
770,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
780,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
790,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
800,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
810,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
820,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
830,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
840,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
850,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
860,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
870,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
880,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
890,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
900,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
910,-969.6721,2.955898e-07,0.7898426,0.9449481,0.7962245,0.9724331,0.6680925,0.7655793
920,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
930,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
940,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
950,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
960,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
970,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
980,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
990,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1000,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1010,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1020,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1030,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
